27/07/20 20:05
Données du projet

                           	Segments	  Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   33721	150081	                   960554	                  1051923	               112	
Restants :                 	   33721	150081	                   960554	                  1051923	               112	
Segments uniques :         	    6923	 51246	                   279205	                   319346	               110	
Segments uniques restants :	    6923	 51246	                   279205	                   319346	               110	


Statistiques par fichiers :

Nom du fichier                                              	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
challenge/CHALE001.txt                                      	             7	                7	               7	                        7	       124	          124	         124	                  124	                            692	                               692	                              692	                                       692	                            798	                               798	                              798	                                       798	
challenge/CHALE002.txt                                      	             6	                6	               3	                        3	        68	           68	          57	                   57	                            362	                               362	                              296	                                       296	                            415	                               415	                              345	                                       345	
font/Notice.html                                            	            65	               65	              64	                       64	      1465	         1465	        1465	                 1465	                           7991	                              7991	                             7991	                                      7991	                           9381	                              9381	                             9381	                                      9381	
MOD/ReadMe.txt                                              	             6	                6	               6	                        6	       123	          123	         123	                  123	                            579	                               579	                              579	                                       579	                            695	                               695	                              695	                                       695	
MOD_kit/How to use MOD Kit.txt                              	             4	                4	               4	                        4	        64	           64	          64	                   64	                            322	                               322	                              322	                                       322	                            377	                               377	                              377	                                       377	
scenario/breakthrough_in_training.txt                       	            70	               70	              60	                       60	       352	          352	         334	                  334	                           2438	                              2438	                             2099	                                      2099	                           2677	                              2677	                             2330	                                      2330	
scenario/China_opening_up.txt                               	            76	               76	              37	                       37	       383	          383	         267	                  267	                           2385	                              2385	                             1484	                                      1484	                           2646	                              2646	                             1692	                                      1692	
scenario/corporate_leadership.txt                           	           135	              135	              58	                       58	       747	          747	         423	                  423	                           4593	                              4593	                             2274	                                      2274	                           5110	                              5110	                             2588	                                      2588	
scenario/Dilemma_of_a_Camera_Manufacturer.txt               	            73	               73	              26	                       26	       395	          395	         157	                  157	                           2584	                              2584	                              924	                                       924	                           2861	                              2861	                             1039	                                      1039	
scenario/Family_farm_business.txt                           	            81	               81	              28	                       28	       395	          395	         240	                  240	                           2486	                              2486	                             1301	                                      1301	                           2751	                              2751	                             1494	                                      1494	
scenario/fashion_venture.txt                                	           107	              107	              43	                       43	       556	          556	         377	                  377	                           3497	                              3497	                             2002	                                      2002	                           3881	                              3881	                             2302	                                      2302	
scenario/food_and_beverage.txt                              	            83	               83	              23	                       23	       415	          415	         252	                  252	                           2622	                              2622	                             1382	                                      1382	                           2904	                              2904	                             1595	                                      1595	
scenario/legacy_brand.txt                                   	            84	               84	              31	                       31	       481	          481	         324	                  324	                           3040	                              3040	                             1759	                                      1759	                           3390	                              3390	                             2035	                                      2035	
scenario/legendary_investor.txt                             	            46	               46	              11	                       11	       237	          237	         131	                  131	                           1527	                              1527	                              701	                                       701	                           1687	                              1687	                              813	                                       813	
scenario/media_empire.txt                                   	            46	               46	               8	                        8	       201	          201	          81	                   81	                           1309	                              1309	                              408	                                       408	                           1433	                              1433	                              475	                                       475	
scenario/Multinational_Corporation.txt                      	            95	               95	              30	                       30	       473	          473	         281	                  281	                           3075	                              3075	                             1501	                                      1501	                           3389	                              3389	                             1725	                                      1725	
scenario/Opportunities_in_Small_Cities.txt                  	            76	               76	              25	                       25	       382	          382	         226	                  226	                           2448	                              2448	                             1256	                                      1256	                           2705	                              2705	                             1438	                                      1438	
scenario/real_estate_mogul.txt                              	            73	               73	              17	                       17	       364	          364	         193	                  193	                           2399	                              2399	                             1040	                                      1040	                           2647	                              2647	                             1206	                                      1206	
scenario/tech_leader.txt                                    	            84	               84	              22	                       22	       464	          464	         280	                  280	                           2983	                              2983	                             1512	                                      1512	                           3314	                              3314	                             1754	                                      1754	
scenario/toys_and_gadgets.txt                               	           102	              102	              29	                       29	       445	          445	         246	                  246	                           3001	                              3001	                             1347	                                      1347	                           3285	                              3285	                             1541	                                      1541	
scenario_dlc/CityEcoSim/Economic_Revival.txt                	            76	               76	              29	                       29	       400	          400	         219	                  219	                           2549	                              2549	                             1203	                                      1203	                           2821	                              2821	                             1368	                                      1368	
scenario_dlc/CityEcoSim/Investing_in_Education.txt          	            85	               85	              26	                       26	       430	          430	         151	                  151	                           2704	                              2704	                              842	                                       842	                           2995	                              2995	                              946	                                       946	
scenario_dlc/CityEcoSim/Metropolitan_Transformation.txt     	            74	               74	              12	                       12	       351	          351	          98	                   98	                           2313	                              2313	                              562	                                       562	                           2541	                              2541	                              637	                                       637	
scenario_dlc/CityEcoSim/Towards_a_Better_Quality_of_Life.txt	            78	               78	              16	                       16	       406	          406	         126	                  126	                           2537	                              2537	                              650	                                       650	                           2815	                              2815	                              745	                                       745	
scenario_dlc/CityEcoSim/Welfare_Vision.txt                  	            88	               88	              25	                       25	       439	          439	         167	                  167	                           2763	                              2763	                              926	                                       926	                           3052	                              3052	                             1044	                                      1044	
scenario_dlc/DigitalAge/Buying Spree.txt                    	            68	               68	              19	                       19	       307	          307	         163	                  163	                           2032	                              2032	                              918	                                       918	                           2221	                              2221	                             1043	                                      1043	
scenario_dlc/DigitalAge/Digital Supremacy.txt               	            68	               68	               2	                        2	       301	          301	           6	                    6	                           2026	                              2026	                               50	                                        50	                           2209	                              2209	                               52	                                        52	
